FECHA;CoDIGO DE USUARIO;PRODUCTO/S  VENDIDOS CALLE 1 [PRODUCTO/S VENDIDOS ];UBICACION 1;MONTO POR CALLE 1
5/6/2023;1.2;PERAS, MANZANAS, BANANA, SANDIA, PINA;Av. Rocafuerte;$15 a $20 dolares
6/6/2023;1.2;MANZANAS, FRESAS, BANANA, SANDIA, PINA;Av. Rocafuerte;$20 a $25 dolares
7/6/2023;1.2;MANZANAS, FRESAS;Av. Rocafuerte;$5 a $10 dolares
8/6/2023;1.2;MANZANAS, FRESAS;Av. Rocafuerte;$5 a $10 dolares
9/6/2023;1.2;MANZANAS, FRESAS, BANANA;Av. Rocafuerte;$10 a $15 dolares
10/6/2023;1.2;MANZANAS, PINA;Av. Rocafuerte;$5 a $10 dolares
11/6/2023;1.2;BANANA;Av. Rocafuerte;$5 a $10 dolares
5/6/2023;2.1;PERAS, MANZANAS, FRESAS, UVAS;Av. Quito ;$20 a $25 dolares
6/6/2023;2.1;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, PINA, MELoN, UVAS;Av. Quito ;$35 a $40 dolares
7/6/2023;2.1;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, UVAS;Av. Quito ;$25 a $30 dolares
8/6/2023;2.1;BANANA;Av. Quito ;$30 a $35 dolares
9/6/2023;2.1;PERAS, MANZANAS, FRESAS, UVAS;Av. Quito ;$15 a $20 dolares
10/6/2023;2.1;BANANA;Av. Quito ;$25 a $30 dolares
11/6/2023;2.1;MANZANAS, FRESAS, UVAS;Av. Quito ;$20 a $25 dolares
5/6/2023;3.3;PERAS, MANZANAS, BANANA, SANDIA, PINA;Av. Paulo Emilio Macias;$10 a $15 dolares
6/6/2023;3.3;BANANA, SANDIA, PINA, MELoN, UVAS;Av. Paulo Emilio Macias;$15 a $20 dolares
7/6/2023;3.3;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, PINA, MELoN, UVAS;Av. Paulo Emilio Macias;$15 a $20 dolares
8/6/2023;3.3;PERAS, MANZANAS, FRESAS, BANANA;Av. Paulo Emilio Macias;$10 a $15 dolares
9/6/2023;3.3;PERAS, SANDIA, UVAS;Av. Paulo Emilio Macias;$5 a $10 dolares
10/6/2023;3.3;PERAS, MANZANAS, FRESAS, BANANA, SANDIA;Av. Paulo Emilio Macias;$10 a $15 dolares
11/6/2023;3.3;PERAS, BANANA;Av. Paulo Emilio Macias;$5 a $10 dolares
5/6/2023;4.2;MANZANAS, FRESAS, BANANA;Av. Olmedo;$5 a $10 dolares
6/6/2023;4.2;SANDIA;Av. Olmedo;$5 a $10 dolares
7/6/2023;4.2;PERAS, FRESAS, PINA, MELoN;Av. Olmedo;$10 a $15 dolares
8/6/2023;4.2;MANZANAS, FRESAS, BANANA;Av. Olmedo;$5 a $10 dolares
9/6/2023;4.2;MANZANAS, BANANA;Av. Olmedo;$5 a $10 dolares
10/6/2023;4.2;FRESAS, BANANA, SANDIA;Av. Olmedo;$10 a $15 dolares
11/6/2023;4.2;MANZANAS, FRESAS, SANDIA, PINA, UVAS;Av. Olmedo;$15 a $20 dolares
5/6/2023;5.2;PERAS, MANZANAS, FRESAS, BANANA;CallejoN LeoNel CedeNo, AveNida Paulo Emilio Macias ;$10 a $15 dolares
6/6/2023;5.2;PERAS, FRESAS, SANDIA;CallejoN LeoNel CedeNo, AveNida Paulo Emilio Macias ;$5 a $10 dolares
7/6/2023;5.2;BANANA, SANDIA, PINA;CallejoN LeoNel CedeNo, AveNida Paulo Emilio Macias ;$5 a $10 dolares
8/6/2023;5.2;PERAS, MANZANAS, FRESAS, SANDIA, PINA;CallejoN LeoNel CedeNo, AveNida Paulo Emilio Macias ;$15 a $20 dolares
9/6/2023;5.2;MANZANAS, FRESAS, BANANA, SANDIA, PINA;CallejoN LeoNel CedeNo, AveNida Paulo Emilio Macias ;$10 a $15 dolares
10/6/2023;5.2;MANZANAS, FRESAS, BANANA, SANDIA, PINA;CallejoN LeoNel CedeNo, AveNida Paulo Emilio Macias ;$15 a $20 dolares
11/6/2023;5.2;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, UVAS;CallejoN LeoNel CedeNo, AveNida Paulo Emilio Macias ;$15 a $20 dolares
5/6/2023;6.1;PERAS, FRESAS, BANANA, MELoN, UVAS;Av. Pedro Gual;$10 a $15 dolares
6/6/2023;6.1;PERAS, BANANA, SANDIA, UVAS;Av. Pedro Gual;$5 a $10 dolares
7/6/2023;6.1;MANZANAS, BANANA, SANDIA, MELoN, UVAS;Av. Pedro Gual;$10 a $15 dolares
8/6/2023;6.1;MANZANAS, FRESAS, PINA, UVAS;Av. Pedro Gual;$5 a $10 dolares
9/6/2023;6.1;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, PINA, MELoN, UVAS;Av. Pedro Gual;$15 a $20 dolares
10/6/2023;6.1;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, MELoN, UVAS;Av. Pedro Gual;$15 a $20 dolares
11/6/2023;6.1;PERAS, BANANA, PINA, UVAS;Av. Pedro Gual;$5 a $10 dolares
5/6/2023;7.2;PERAS, MANZANAS, FRESAS, PINA, UVAS;Calle 10 de Agosto;$10 a $15 dolares
6/6/2023;7.2;PERAS, MANZANAS, FRESAS, PINA, UVAS;Calle 10 de Agosto;$5 a $10 dolares
7/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle 10 de Agosto;$20 a $25 dolares
8/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle 10 de Agosto;$20 a $25 dolares
9/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle 10 de Agosto;$30 a $35 dolares
10/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle 10 de Agosto;$10 a $15 dolares
11/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle 10 de Agosto;$25 a $30 dolares
5/6/2023;1.2;PERAS, MANZANAS, BANANA;Av. Morales;$5 a $10 dolares
6/6/2023;1.2;PERAS, MANZANAS;Av. Morales;$5 a $10 dolares
7/6/2023;1.2;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, PINA;Av. Morales;$15 a $20 dolares
8/6/2023;1.2;MANZANAS, BANANA, SANDIA;Av. Morales;$10 a $15 dolares
9/6/2023;1.2;PERAS, MANZANAS;Av. Morales;$5 a $10 dolares
10/6/2023;1.2;MANZANAS, FRESAS, SANDIA;Av. Morales;$10 a $15 dolares
11/6/2023;1.2;MANZANAS, SANDIA;Av. Morales;$10 a $15 dolares
5/6/2023;2.1;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, UVAS;Av.  Chile;$30 a $35 dolares
6/6/2023;2.1;PERAS, MANZANAS, FRESAS, UVAS;Av.  Chile;$15 a $20 dolares
7/6/2023;2.1;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, PINA, MELoN, UVAS;Av.  Chile;Mas de $40 dolares
8/6/2023;2.1;PERAS, MANZANAS, FRESAS, UVAS;Av.  Chile;$20 a $25 dolares
9/6/2023;2.1;PERAS, MANZANAS, FRESAS, SANDIA, UVAS;Av.  Chile;$20 a $25 dolares
10/6/2023;2.1;PERAS, MANZANAS, FRESAS, UVAS;Av.  Chile;$30 a $35 dolares
11/6/2023;2.1;MANZANAS, FRESAS, MELoN, UVAS;Av.  Chile;$30 a $35 dolares
5/6/2023;3.3;MANZANAS, FRESAS, BANANA, SANDIA, PINA;Calle Octava;$10 a $15 dolares
6/6/2023;3.3;PERAS, MANZANAS, FRESAS, SANDIA;Calle Octava;$5 a $10 dolares
7/6/2023;3.3;FRESAS, UVAS;Calle Octava;$5 a $10 dolares
8/6/2023;3.3;PERAS, MANZANAS, FRESAS, BANANA, SANDIA;Calle Octava;$15 a $20 dolares
9/6/2023;3.3;PERAS, MANZANAS, BANANA, SANDIA;Calle Octava;$5 a $10 dolares
10/6/2023;3.3;FRESAS, BANANA, SANDIA, UVAS;Calle Octava;$5 a $10 dolares
11/6/2023;3.3;MANZANAS, SANDIA, UVAS;Calle Octava;$5 a $10 dolares
5/6/2023;4.2;MANZANAS, PINA, MELoN, UVAS;Av. America;$10 a $15 dolares
6/6/2023;4.2;FRESAS, UVAS;Av. America;$10 a $15 dolares
7/6/2023;4.2;MANZANAS, BANANA, PINA, MELoN;Av. America;$10 a $15 dolares
8/6/2023;4.2;BANANA, MELoN;Av. America;$5 a $10 dolares
9/6/2023;4.2;FRESAS, UVAS;Av. America;$5 a $10 dolares
10/6/2023;4.2;PERAS, PINA, MELoN, UVAS;Av. America;$10 a $15 dolares
11/6/2023;4.2;FRESAS, BANANA, PINA, MELoN;Av. America;$10 a $15 dolares
5/6/2023;5.2;MANZANAS, FRESAS, BANANA, SANDIA;Av. Paulo Emilio Macias;$10 a $15 dolares
6/6/2023;5.2;PERAS, SANDIA, PINA, MELoN, UVAS;Av. Paulo Emilio Macias;$10 a $15 dolares
