Country Name;Country Code;Continent;2022 Population;2020 Population;2015 Population;2010 Population;2000 Population;1990 Population;1980 Population;1970 Population;Area (kmÂ²);Density (per kmÂ²);Growth Rate;World Population Percentage;Indicator Name;Indicator Code;1970;1980;1990;2000;2010;2015;2020;2022
Aruba;ABW;Norteamérica;106445;106585;104257;100341;89101;65712;62267;59106;180;591,3611;0,9991;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;219.580.450.971.051;491.835.385.108.675;-382.701.299.563.932;288.516.618.544.072;-186.983.248.900.374;
Afganistán;AFG;Asia;41128771;38972230;33753499;28189672;19542982;10694796;12486631;10752971;652230;63,0587;1,0257;0,52;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;110.992.199.166.219;-166.641.641.520.391;-53.646.659.309.623;
Angola;AGO;Africa;35588987;33428485;28127721;23364185;16394062;11828638;8330047;6029700;1246700;28,5466;1,0315;0,45;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;-662.640.931.330.293;-0.234945632722756;101.592.225.919.099;-264.641.999.388.039;-86.354.462.123.582;
Albania;ALB;Europa;2842321;2866849;2882481;2913399;3182021;3295066;2941651;2324731;28748;98,8702;0,9957;0,04;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;-11.187.905.298.961;763.002.243.937.019;422.308.382.721.044;251.682.705.417.127;-292.582.095.677.083;
Andorra;AND;Europa;79824;77700;71746;71519;66097;53569;35611;19860;468;170,5641;1,01;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;-200.751.514.688.865;0.0423206245897916;28.360.535.398.907;12.226.877.027.027;125.741.601.269.149;-127.350.775.611.172;
Emiratos Árabes Unidos;ARE;Asia;9441129;9287289;8916899;8481771;3275333;1900151;1014048;298084;83600;112,9322;1,0081;0,12;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;109.753.059.194.355;115.831.413.390.822;483.612.964.510.461;-425.638.586.310.046;581.735.787.418.565;-573.104.452.508.203;
Argentina;ARG;América del Sur;45510318;45036032;43257065;41100123;37070774;32637657;28024803;23842803;2780400;16,3683;1,0052;0,57;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;144.319.966.346.231;-0.0775227575679907;-387.738.988.305.726;-190.698.749.835.167;984.429.639.847.724;162.966.427.946.263;-108.126.108.522.948;
Armenia;ARM;Asia;2780469;2805608;2878595;2946293;3168523;3556539;3135123;2534377;29743;93,4831;0,9962;0,03;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;715.357.818.453.764;282.448.188.304.339;360.636.907.832.207;-670.404.931.836.521;
Samoa Americana;ASM;Oceania;44273;46189;51368;54849;58230;47818;32886;27075;199;222,4774;0,9831;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;124.526.425.733.148;485.444.230.115.995;764.030.127.989.335;
Antigua y Barbuda;ATG;Norteamérica;93763;92664;89941;85695;75055;63328;64888;64516;442;212,1335;1,0058;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;769.470.761.360.897;351.271.910.693.902;445.731.128.602.871;-908.917.481.882.941;301.146.145.768.065;-206.634.788.051.455;
Australia;AUS;Oceania;26177413;25670051;23820236;22019168;19017963;17048003;14706322;12595034;7692024;34,032;1,0099;0,33;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;508.501.321.765.334;178.726.761.638.859;205.479.381.137.212;271.882.936.967.131;0.628836598169386;0.693065822727618;-127.835.805.936.483;
Austria;AUT;Europa;8939617;8907777;8642421;8362829;8010428;7678729;7547561;7465301;83871;106,5877;1,002;0,11;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;595.049.661.811.298;173.137.779.245.161;355.354.764.697.123;312.743.665.014.771;159.257.712.849.987;-0.111540189504495;-68.415.447.032.182;
Azerbaiyán;AZE;Asia;10358074;10284951;9863480;9237202;8190337;7427836;6383060;5425317;86600;119,6082;1,0044;0,13;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;101.910.292.674.816;380.649.102.062.563;-0.103121364891479;-495.270.173.869.491;
