Country Name;PIB per cápita-2015;PIB per cápita -2020;PIB per cápita-2022;Crecimiento de la población -2015;Crecimiento de la población -2020;Crecimiento de la población-2022;Desempleo-2015;Desempleo-2020;Desempleo-2022;Inflación, precios al consumidor (% anual)-2015;Inflación, precios al consumidor-2020;Inflación, precios al consumidor-2022
 República del Congo;1388057,766;1058185,01;1526956,879;2,388405079;2,332086251;2,28055585;20,485;22,517;21,795;3,169097968;1,795371471;3,043443347
 República Democrática del Congo;446384,5408;971222,1305;1263713,25;3,389391312;3,224478443;3,197835105;4,457;5,127;4,987;0,744198995;;
Afganistán;36226,06638;39702,34774;;3,121341229;3,134746908;2,534498317;8,989;11,71;;-0,661709165;;
Albania;497901,7275;580521,0465;769000,3608;-0,291205787;-0,574206959;-1,289800065;17,19;13,067;11,808;1,896174026;1,620886617;6,725202715
Alemania;37046,21801;40949,9078;45992,61052;0,865702644;0,081693159;1,056627141;4,62;3,86;2,989;0,514426137;0,144877926;6,872574386
Andorra;35047,3894;32575,16088;39931,59952;0,17437769;1,761891295;0,994607149;;;;;;
Angola;495962,364;948316,0859;1499765,798;3,617677518;3,268348405;3,096752671;9,584;10,35;10,209;9,353839725;22,27156431;
Antigua y Barbuda;40127,08331;41268,88544;50611,96847;0,786935419;0,592053943;0,581875833;;;;0,968993459;0,625989707;7,531078346
Arabia Saudita;76658,87274;76492,7287;114136,0436;1,924622137;0,472667096;1,267095358;5,6;7,45;5,635;1,206073222;3,44545826;2,474073719
Argelia;422644,2332;425229,3295;606875,4735;1,999946051;1,732456728;1,628339254;11,21;12,248;11,55;4,784447007;2,415130941;9,265515516
Argentina;138053,3152;599330,9618;1787618,552;1,078001344;0,970053991;0,925835474;7,524;11,46;6,491;;;
Armenia;1752116,293;2203409,243;3055879,386;-0,392995249;-0,533006607;-0,377102034;12,177;12,18;12,557;3,731691193;1,211435778;8,64091109
Australia;68160,28472;77156,4491;88881,66509;1,439216653;1,23570108;1,125898518;6,05;6,46;3,661;1,508366722;0,846905537;6,594096713
Austria;39833,53233;42732,79036;49505,26003;1,120992502;0,415176732;0,963774922;5,72;5,36;4,707;0,896563335;1,381910634;8,546869932
Azerbaiyán;5635,618018;7190,848103;13152,39209;1,191209858;0,684365325;0,366922376;4,96;7,16;5,462;4,027685737;2,75980947;13,85225901
Bahamas;29724,95334;23998,26802;31458,30081;0,912227428;0,471994445;0,508137884;12;12,867;10,056;1,861483029;0,038521098;5,605406336
Barein;8571,08877;8810,878401;11337,16504;3,816604913;-1,125242678;0,611005553;1,197;1,674;1,399;1,848627424;-2,317706293;3,625741043
Bangladesh;96040,18881;189371,126;232011,2491;1,191061127;1,14420974;1,074836743;4,371;5,209;4,699;6,19428023;5,691074747;7,696954372
Barbados;33980,43893;33287,61316;40037,0303;0,212392264;0,182929163;0,15457464;9,8;10,105;8,203;-1,112789925;;
Belarús;9503,147422;15961,80876;20781,86706;0,132853237;-0,42347525;-1,014352055;5,838;4,05;4,17;13,53448976;5,548143575;15,20967527
Bélgica;36960,63116;39851,21597;47085,02872;0,579446242;0,430996815;0,657664577;8,48;5,55;5,631;0,561429153;0,740791812;9,597511729
Belice;12284,95767;10533,75232;13936,72317;2,116320634;1,486221516;1,301640251;7,58;10,788;9,687;-0,861584009;0,121434645;
Benin;615837,1569;712546,2887;812897,3734;2,951249123;2,829138113;2,702041089;2,023;1,671;1,654;0,218785924;3,022721197;1,350778636
Bhután;172930,349;223034,1771;;0,93496965;0,655471789;0,637077531;2,45;5,03;3,604;4,548143951;5,629365226;5,639166714
Bolivia;20561,73329;21205,49476;24345,8215;1,57314494;1,33973922;1,190274813;3,11;7,9;4,419;4,059610411;0,940742153;1,746328729
